sentence,neg,neu,pos,compound
CHAPTER I,0.0,1.0,0.0,0.0
"In 1913, when Anthony Patch was twentyfive, two years were already gone since irony, the Holy Ghost of this later day, had, theoretically at least, descended upon him.",0.119,0.881,0.0,-0.3612
"Irony was the final polish of the shoe, the ultimate dab of the clothesbrush, a sort of intellectual ""There!",0.059,0.781,0.161,0.4765
"""yet at the brink of this story he has as yet gone no further than the conscious stage.",0.115,0.885,0.0,-0.296
"As you first see him he wonders frequently whether he is not without honor and slightly mad, a shameful and obscene thinness glistening on the surface of the world like oil on a clean pond, these occasions being varied, of course, with those in which he thinks himself rather an exceptional young man, thoroughly sophisticated, well adjusted to his environment, and somewhat more significant than any one else he knows.",0.114,0.701,0.184,0.5943
"This was his healthy state and it made him cheerful, pleasant, and very attractive to intelligent men and to all women.",0.0,0.501,0.499,0.9428
"In this state he considered that he would one day accomplish some quiet subtle thing that the elect would deem worthy and, passing on, would join the dimmer stars in a nebulous, indeterminate heaven halfway between death and immortality.",0.081,0.686,0.233,0.743
"Until the time came for this effort he would be Anthony Patchnot a portrait of a man but a distinct and dynamic personality, opinionated, contemptuous, functioning from within outwarda man who was aware that there could be no honor and yet had honor, who knew the sophistry of courage and yet was brave.",0.1,0.606,0.294,0.9413
A WORTHY MAN AND HIS GIFTED SON Anthony drew as much consciousness of social security from being the grandson of Adam J. Patch as he would have had from tracing his line over the sea to the crusaders.,0.0,0.853,0.147,0.7213
"This is inevitable Virginians and Bostonians to the contrary notwithstanding, an aristocracy founded sheerly on money postulates wealth in the particular.",0.0,0.862,0.138,0.4939
"Now Adam J. Patch, more familiarly known as ""Cross Patch,"" left his father's farm in Tarrytown early in sixtyone to join a New York cavalry regiment.",0.0,0.916,0.084,0.296
"He came home from the war a major, charged into Wall Street, and amid much fuss, fume, applause, and ill will he gathered to himself some seventyfive million dollars.",0.293,0.63,0.077,-0.7845
This occupied his energies until he was fiftyseven years old.,0.0,0.826,0.174,0.2263
"It was then that he determined, after a severe attack of sclerosis, to consecrate the remainder of his life to the moral regeneration of the world.",0.189,0.731,0.08,-0.5106
He became a reformer among reformers.,0.0,1.0,0.0,0.0
"Emulating the magnificent efforts of Anthony Comstock, after whom his grandson was named, he levelled a varied assortment of uppercuts and bodyblows at liquor, literature, vice, art, patent medicines, and Sunday theatres.",0.0,0.885,0.115,0.5994
"His mind, under the influence of that insidious mildew which eventually forms on all but the few, gave itself up furiously to every indignation of the age.",0.253,0.747,0.0,-0.8573
"From an armchair in the office of his Tarrytown estate he directed against the enormous hypothetical enemy, unrighteousness, a campaign which went on through fifteen years, during which he displayed himself a rabid monomaniac, an unqualified nuisance, and an intolerable bore.",0.129,0.871,0.0,-0.6705
"The year in which this story opens found him wearying his campaign had grown desultory 1861 was creeping up slowly on 1895 his thoughts ran a great deal on the Civil War, somewhat on his dead wife and son, almost infinitesimally on his grandson Anthony.",0.15,0.773,0.077,-0.5908
"Early in his career Adam Patch had married an anemic lady of thirty, Alicia Withers, who brought him one hundred thousand dollars and an impeccable entr into the banking circles of New York.",0.0,1.0,0.0,0.0
"Immediately and rather spunkily she had borne him a son and, as if completely devitalized by the magnificence of this performance, she had thenceforth effaced herself within the shadowy dimensions of the nursery.",0.0,0.901,0.099,0.5267
"The boy, Adam Ulysses Patch, became an inveterate joiner of clubs, connoisseur of good form, and driver of tandemsat the astonishing age of twentysix he began his memoirs under the title ""New York Society as I Have Seen It.""",0.0,0.927,0.073,0.4404
"On the rumor of its conception this work was eagerly bid for among publishers, but as it proved after his death to be immoderately verbose and overpoweringly dull, it never obtained even a private printing.",0.213,0.743,0.043,-0.8442
This Fifth Avenue Chesterfield married at twentytwo.,0.0,1.0,0.0,0.0
"His wife was Henrietta Lebrune, the Boston ""Society Contralto,"" and the single child of the union was, at the request of his grandfather, christened Anthony Comstock Patch.",0.0,1.0,0.0,0.0
"When he went to Harvard, the Comstock dropped out of his name to a nether hell of oblivion and was never heard of thereafter.",0.173,0.827,0.0,-0.6808
"Young Anthony had one picture of his father and mother togetherso often had it faced his eyes in childhood that it had acquired the impersonality of furniture, but every one who came into his bedroom regarded it with interest.",0.0,0.905,0.095,0.6124
"It showed a dandy of the nineties, spare and handsome, standing beside a tall dark lady with a muff and the suggestion of a bustle.",0.0,0.862,0.138,0.4939
"Between them was a little boy with long brown curls, dressed in a velvet Lord Fauntleroy suit.",0.0,1.0,0.0,0.0
"This was Anthony at five, the year of his mother's death.",0.281,0.719,0.0,-0.5994
His memories of the Boston Society Contralto were nebulous and musical.,0.0,1.0,0.0,0.0
"She was a lady who sang, sang, sang, in the music room of their house on Washington Squaresometimes with guests scattered all about her, the men with their arms folded, balanced breathlessly on the edges of sofas, the women with their hands in their laps, occasionally making little whispers to the men and always clapping very briskly and uttering cooing cries after each songand often she sang to Anthony alone, in Italian or French or in a strange and terrible dialect which she imagined to be the speech of the Southern negro.",0.1,0.9,0.0,-0.8225
"His recollections of the gallant Ulysses, the first man in America to roll the lapels of his coat, were much more vivid.",0.0,0.886,0.114,0.4019
"After Henrietta Lebrune Patch had ""joined another choir,"" as her widower huskily remarked from time to time, father and son lived up at grampa's in Tarrytown, and Ulysses came daily to Anthony's nursery and expelled pleasant, thicksmelling words for sometimes as much as an hour.",0.041,0.89,0.068,0.3182
"He was continually promising Anthony hunting trips and fishing trips and excursions to Atlantic City, ""oh, some time soon now"" but none of them ever materialized.",0.0,0.931,0.069,0.2144
"One trip they did take when Anthony was eleven they went abroad, to England and Switzerland, and there in the best hotel in Lucerne his father died with much sweating and grunting and crying aloud for air.",0.149,0.757,0.094,-0.3612
"In a panic of despair and terror Anthony was brought back to America, wedded to a vague melancholy that was to stay beside him through the rest of his life.",0.366,0.634,0.0,-0.9062
PAST AND PERSON OF THE HERO At eleven he had a horror of death.,0.347,0.456,0.198,-0.5052
"Within six impressionable years his parents had died and his grandmother had faded off almost imperceptibly, until, for the first time since her marriage, her person held for one day an unquestioned supremacy over her own drawing room.",0.088,0.854,0.059,-0.4939
"So to Anthony life was a struggle against death, that waited at every corner.",0.36,0.64,0.0,-0.7351
It was as a concession to his hypochondriacal imagination that he formed the habit of reading in bedit soothed him.,0.0,0.923,0.077,0.128
He read until he was tired and often fell asleep with the lights still on.,0.172,0.828,0.0,-0.4404
"His favorite diversion until he was fourteen was his stamp collection enormous, as nearly exhaustive as a boy's could behis grandfather considered fatuously that it was teaching him geography.",0.049,0.852,0.098,0.3612
"So Anthony kept up a correspondence with a half dozen ""Stamp and Coin"" companies and it was rare that the mail failed to bring him new stampbooks or packages of glittering approval sheetsthere was a mysterious fascination in transferring his acquisitions interminably from one book to another.",0.065,0.81,0.125,0.4588
"His stamps were his greatest happiness and he bestowed impatient frowns on any one who interrupted him at play with them they devoured his allowance every month, and he lay awake at night musing untiringly on their variety and manycolored splendor.",0.082,0.653,0.265,0.8957
"At sixteen he had lived almost entirely within himself, an inarticulate boy, thoroughly unAmerican, and politely bewildered by his contemporaries.",0.0,1.0,0.0,0.0
"The two preceding years had been spent in Europe with a private tutor, who persuaded him that Harvard was the thing it would ""open doors,"" it would be a tremendous tonic, it would give him innumerable selfsacrificing and devoted friends.",0.0,0.861,0.139,0.7003
So he went to Harvardthere was no other logical thing to be done with him.,0.136,0.864,0.0,-0.296
"Oblivious to the social system, he lived for a while alone and unsought in a high room in Beck Halla slim dark boy of medium height with a shy sensitive mouth.",0.133,0.867,0.0,-0.4588
His allowance was more than liberal.,0.0,1.0,0.0,0.0
"He laid the foundations for a library by purchasing from a wandering bibliophile first editions of Swinburne, Meredith, and Hardy, and a yellowed illegible autograph letter of Keats's, finding later that he had been amazingly overcharged.",0.0,0.922,0.078,0.4019
"He became an exquisite dandy, amassed a rather pathetic collection of silk pajamas, brocaded dressinggowns, and neckties too flamboyant to wear in this secret finery he would parade before a mirror in his room or lie stretched in satin along his windowseat looking down on the yard and realizing dimly this clamor, breathless and immediate, in which it seemed he was never to have a part.",0.056,0.944,0.0,-0.5719
Curiously enough he found in senior year that he had acquired a position in his class.,0.0,1.0,0.0,0.0
"He learned that he was looked upon as a rather romantic figure, a scholar, a recluse, a tower of erudition.",0.0,0.847,0.153,0.4019
"This amused him but secretly pleased himhe began going out, at first a little and then a great deal.",0.0,0.56,0.44,0.9002
He made the Pudding.,0.0,1.0,0.0,0.0
He drankquietly and in the proper tradition.,0.0,1.0,0.0,0.0
"It was said of him that had he not come to college so young he might have ""done extremely well.""",0.0,1.0,0.0,0.0
"In 1909, when he graduated, he was only twenty years old.",0.0,1.0,0.0,0.0
