sentence,negative,neutral,positive,predicted_label
CHAPTER I,0.19614417850971222,0.6063152551651001,0.19754056632518768,Neutral
In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since.,0.1432008296251297,0.7364351749420166,0.1203640028834343,Neutral
"""Whenever you feel like criticizing anyone,"" he told me, ""just remember that all the people in this world haven't had the advantages that you've had.""",0.2665647864341736,0.5626327395439148,0.1708025187253952,Neutral
"He didn't say any more, but we've always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that.",0.01652657240629196,0.3974233567714691,0.5860500335693359,Positive
"In consequence, I'm inclined to reserve all judgements, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores.",0.2145875245332718,0.6716945767402649,0.1137179434299469,Neutral
"The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men.",0.5414778590202332,0.42759713530540466,0.030924972146749496,Negative
"Most of the confidences were unsoughtfrequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon for the intimate revelations of young men, or at least the terms in which they express them, are usually plagiaristic and marred by obvious suppressions.",0.5575881600379944,0.4156797230243683,0.02673204429447651,Negative
Reserving judgements is a matter of infinite hope.,0.05093653127551079,0.585661768913269,0.36340171098709106,Neutral
"I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth.",0.6105128526687622,0.3637063801288605,0.02578069642186165,Negative
"And, after boasting this way of my tolerance, I come to the admission that it has a limit.",0.19205358624458313,0.7479036450386047,0.060042738914489746,Neutral
"Conduct may be founded on the hard rock or the wet marshes, but after a certain point I don't care what it's founded on.",0.35696470737457275,0.6096081733703613,0.03342709690332413,Neutral
When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever I wanted no more riotous excursions with privileged glimpses into the human heart.,0.30802014470100403,0.5647795796394348,0.12720029056072235,Neutral
"Only Gatsby, the man who gives his name to this book, was exempt from my reactionGatsby, who represented everything for which I have an unaffected scorn.",0.3833528161048889,0.5326279401779175,0.08401922136545181,Neutral
"If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away.",0.02044527605175972,0.16909678280353546,0.8104580044746399,Positive
"This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the ""creative temperament""it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again.",0.06129299849271774,0.3017461597919464,0.6369608044624329,Positive
"NoGatsby turned out all right at the end it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and shortwinded elations of men.",0.5404436588287354,0.4119532108306885,0.047603148967027664,Negative
"My family have been prominent, welltodo people in this Middle Western city for three generations.",0.01581038348376751,0.7701154947280884,0.2140740603208542,Neutral
"The Carraways are something of a clan, and we have a tradition that we're descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather's brother, who came here in fiftyone, sent a substitute to the Civil War, and started the wholesale hardware business that my father carries on today.",0.024919530376791954,0.9163756370544434,0.05870481953024864,Neutral
"I never saw this greatuncle, but I'm supposed to look like himwith special reference to the rather hardboiled painting that hangs in father's office.",0.16837060451507568,0.6431440711021423,0.1884853094816208,Neutral
"I graduated from New Haven in 1915, just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War.",0.03099374659359455,0.8737645745277405,0.09524166584014893,Neutral
I enjoyed the counterraid so thoroughly that I came back restless.,0.006367468740791082,0.03373267501592636,0.9598998427391052,Positive
"Instead of being the warm centre of the world, the Middle West now seemed like the ragged edge of the universeso I decided to go East and learn the bond business.",0.5560081005096436,0.40638574957847595,0.03760610893368721,Negative
"Everybody I knew was in the bond business, so I supposed it could support one more single man.",0.03058755025267601,0.7214353680610657,0.2479771077632904,Neutral
"All my aunts and uncles talked it over as if they were choosing a prep school for me, and finally said, ""Whyyees,"" with very grave, hesitant faces.",0.4808390736579895,0.48026710748672485,0.03889378160238266,Negative
"Father agreed to finance me for a year, and after various delays I came East, permanently, I thought, in the spring of twentytwo.",0.019457843154668808,0.8604713678359985,0.12007071822881699,Neutral
"The practical thing was to find rooms in the city, but it was a warm season, and I had just left a country of wide lawns and friendly trees, so when a young man at the office suggested that we take a house together in a commuting town, it sounded like a great idea.",0.0033464422449469566,0.0873725488781929,0.9092809557914734,Positive
"He found the house, a weatherbeaten cardboard bungalow at eighty a month, but at the last minute the firm ordered him to Washington, and I went out to the country alone.",0.07221594452857971,0.8483728170394897,0.07941118627786636,Neutral
"I had a dogat least I had him for a few days until he ran awayand an old Dodge and a Finnish woman, who made my bed and cooked breakfast and muttered Finnish wisdom to herself over the electric stove.",0.25123435258865356,0.6725361347198486,0.0762295126914978,Neutral
"It was lonely for a day or so until one morning some man, more recently arrived than I, stopped me on the road.",0.5059117078781128,0.4491446018218994,0.044943664222955704,Negative
