sentence,neg,neu,pos,compound
CHAPTER I,0.0,1.0,0.0,0.0
In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since.,0.091,0.909,0.0,-0.2944
"""Whenever you feel like criticizing anyone,"" he told me, ""just remember that all the people in this world haven't had the advantages that you've had.""",0.158,0.756,0.086,-0.2755
"He didn't say any more, but we've always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that.",0.0,0.803,0.197,0.7684
"In consequence, I'm inclined to reserve all judgements, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores.",0.065,0.803,0.132,0.2874
"The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men.",0.049,0.951,0.0,-0.296
"Most of the confidences were unsoughtfrequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon for the intimate revelations of young men, or at least the terms in which they express them, are usually plagiaristic and marred by obvious suppressions.",0.048,0.952,0.0,-0.3818
Reserving judgements is a matter of infinite hope.,0.0,0.556,0.444,0.4588
"I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth.",0.248,0.752,0.0,-0.738
"And, after boasting this way of my tolerance, I come to the admission that it has a limit.",0.0,0.872,0.128,0.296
"Conduct may be founded on the hard rock or the wet marshes, but after a certain point I don't care what it's founded on.",0.177,0.723,0.101,-0.2481
When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever I wanted no more riotous excursions with privileged glimpses into the human heart.,0.056,0.87,0.074,0.1779
"Only Gatsby, the man who gives his name to this book, was exempt from my reactionGatsby, who represented everything for which I have an unaffected scorn.",0.1,0.849,0.052,-0.3182
"If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away.",0.0,0.76,0.24,0.9001
"This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the ""creative temperament""it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again.",0.0,0.712,0.288,0.9393
